Zeit  1 - Langsame Messrate [s]	Kraft [kN]	DMS hinten [stra]	DMS vorn [stra]
16,2000007694587	-3,68750004099638E-04	0,043194841593504	-8,63896831870079E-02	
16,4000007789582	-2,52083336135911E-04	0,039595271460712	-6,47922623902559E-02	
16,6000007884577	2,77083336413853E-04	8,99892533197999E-02	0,003599570132792	
16,8000007979572	2,56250002848901E-04	5,39935519918799E-02	-0,028796561062336	
17,0000008074567	-2,14583335718999E-04	0,021597420796752	-0,043194841593504	
17,2000008169562	-2,58333336205396E-04	4,67944117262959E-02	-0,01799785066396	
17,4000008264557	2,08333335649513E-06	0,014398280531168	-0,032396131195128	
17,6000008359551	2,58333336205396E-04	-7,19914026558399E-03	-0,039595271460712	
17,8000008454546	5,06250005628317E-04	0,043194841593504	-0,021597420796752	
18,0000008549541	4,58333338428929E-04	6,83918325230479E-02	-7,19914026558399E-03	
18,2000008644536	1,77083335302086E-04	0,025196990929544	-7,19914026558399E-02	
18,4000008739531	1,97916668867038E-04	0,03599570132792	-5,39935519918799E-02	
18,6000008834526	5,20833339123783E-04	5,75931221246719E-02	-0,003599570132792	
18,8000008929521	8,87500009866926E-04	8,99892533197999E-02	0,010798710398376	
19,0000009024516	3,64583337386648E-04	0,122385384514928	0,01799785066396	
19,2000009119511	5,45833339401725E-04	0,115186244249344	7,19914026558399E-03	
19,4000009214506	9,16666676857858E-05	6,47922623902559E-02	-6,83918325230479E-02	
19,60000093095	6,45833340513491E-05	9,35888234525919E-02	-5,03939818590879E-02	
19,8000009404495	1,5416666838064E-04	0,122385384514928	0,021597420796752	
20,000000949949	3,45833337178192E-04	8,63896831870079E-02	-0,010798710398376	
20,2000009594485	2,54166669492406E-04	0,118785814382136	-0,010798710398376	
20,400000968948	6,89583340999889E-04	9,35888234525919E-02	0,032396131195128	
20,6000009784475	2,08333335649513E-04	6,47922623902559E-02	6,47922623902559E-02	
20,800000987947	4,60416671785424E-04	6,47922623902559E-02	0,043194841593504	
21,0000009974465	3,2083333690025E-04	0,025196990929544	0,043194841593504	
21,200001006946	1,91666668797552E-04	4,67944117262959E-02	8,27901130542159E-02	
21,4000010164455	-1,45833334954659E-05	8,63896831870079E-02	7,19914026558399E-02	
21,6000010259449	-6,45833340513491E-05	6,47922623902559E-02	0,01799785066396	
21,8000010354444	-3,31250003682726E-04	6,47922623902559E-02	7,19914026558399E-03	
22,0000010449439	4,16666671299026E-05	0,021597420796752	-0,010798710398376	
22,2000010544434	4,06250004516551E-04	5,03939818590879E-02	-0,039595271460712	
22,4000010639429	5,20833339123783E-05	7,19914026558399E-02	-0,028796561062336	
22,6000010734424	3,58333337317163E-04	0,111586674116552	-0,003599570132792	
22,8000010829419	1,75000001945591E-04	0,100787963718176	-6,47922623902559E-02	
23,0000010924414	9,58333343987761E-05	9,71883935853839E-02	-8,27901130542159E-02	
23,2000011019409	6,66666674078442E-05	0,118785814382136	-5,39935519918799E-02	
23,4000011114404	2,29166669214464E-04	9,35888234525919E-02	-0,032396131195128	
23,6000011209399	4,58333338428929E-04	4,67944117262959E-02	-0,039595271460712	
23,8000011304393	4,77083338637385E-04	5,03939818590879E-02	-0,021597420796752	
24,0000011399388	1,64583335163115E-04	0,01799785066396	-0,01799785066396	
24,2000011494383	4,7500000528089E-04	5,39935519918799E-02	0	
24,4000011589378	4,00000004447065E-04	8,63896831870079E-02	-0,021597420796752	
24,6000011684373	6,22916673592044E-04	7,91905429214239E-02	-6,11926922574639E-02	
24,8000011779368	6,31250007018025E-04	0,118785814382136	-4,67944117262959E-02	
25,0000011874363	4,58333338428929E-04	6,11926922574639E-02	-0,025196990929544	
25,2000011969358	3,14583336830765E-04	0,03599570132792	-0,03599570132792	
25,4000012064353	8,75000009727955E-05	0,025196990929544	-7,91905429214239E-02	
25,6000012159348	2,70833336344367E-05	0,025196990929544	-8,63896831870079E-02	
25,8000012254342	-3,33333337039221E-05	4,67944117262959E-02	-0,03599570132792	
26,0000012349337	-3,43750003821697E-04	0,014398280531168	-6,47922623902559E-02	
26,2000012444332	1,66666668519611E-05	0,032396131195128	-9,71883935853839E-02	
26,4000012539327	2,89583336552823E-04	7,91905429214239E-02	-7,91905429214239E-02	
26,6000012634322	-2,04166668936523E-04	5,39935519918799E-02	-7,91905429214239E-02	
26,8000012729317	1,22916668033213E-04	6,11926922574639E-02	-0,100787963718176	
27,0000012824312	3,1250000347427E-04	6,83918325230479E-02	-8,27901130542159E-02	
27,2000012919307	3,33333337039221E-04	0,03599570132792	-0,111586674116552	
27,4000013014302	4,25000004725007E-04	0,028796561062336	-8,99892533197999E-02	
27,6000013109297	2,33333335927455E-04	-0,021597420796752	-0,104387533850968	
27,8000013204291	2,97916669978804E-04	-0,028796561062336	-0,115186244249344	
28,0000013299286	-7,70833341903199E-05	0,403151854872704	-0,439147556200624	
28,2000013394281	-7,04166674495355E-04	2,22093477193266	-2,249731332995	
28,4000013489276	-7,02083341138859E-04	3,63916540425271	-3,62836669385433	
28,6000013584271	-6,04166673383588E-04	3,71835594717413	-3,70755723677576	
28,8000013679266	-3,1666667018726E-04	3,83354219142348	-3,85154004208744	
29,0000013774261	2,45833336066426E-04	5,44974918104708	-5,41735304985195	
29,2000013869256	7,29166674773296E-05	5,81330576445907	-5,77731006313115	
29,4000013964251	-1,35416668172184E-04	5,49294402264059	-5,51814101357013	
29,6000014059246	-5,81250006462142E-04	6,40363526623696	-6,37123913504183	
29,800001415424	-2,02083335580028E-04	7,65988524258137	-7,56269684899598	
30,0000014249235	5,35416672619249E-04	7,47630716580898	-7,40071619302034	
30,200001434423	4,31250004794492E-04	7,74987449590117	-7,59509298019111	
30,4000014439225	1,31250001459193E-04	9,19330211915076	-9,02412232290953	
30,600001453422	3,91666671021085E-04	9,45607073884457	-9,31208793353289	
30,8000014629215	4,0208333780356E-04	9,35168320499361	-9,12491028662771	
31,000001472421	3,50000003891182E-04	18,0338463652879	-17,8178721573204	
31,2000014819205	-1,25000001389708E-04	35,44136752747	-35,164200627245	
31,40000149142	-1,04166667824757E-04	40,8983158487827	-40,6211489485577	
31,6000015009195	-6,54166673939471E-04	53,4104216303676	-53,248440974392	
31,800001510419	-1,04583334496056E-03	76,1921010008082	-76,0553173357621	
32,0000015199184	-1,05833334509953E-03	85,2954138666391	-85,1046366496012	
32,2000015294179	-1,03125001146509E-03	87,6603314438835	-87,530746919103	
32,4000015389174	-1,65000001834414E-03	94,6470970716327	-94,6003026599064	
32,6000015484169	-2,90000003224122E-03	106,399693555199	-106,100929234177	
32,8000015579164	-5,95625006621958E-03	110,031659819186	-109,603310973383	
33,0000015674159	-8,01875008914976E-03	110,773171266541	-110,406015112996	
33,2000015769154	-1,40770834898376E-02	111,194320972078	-111,575875406154	
