Zeit  1 - Schnelle Messrate [s]	Kraft [kN]	DMS hinten [stra]	DMS vorn [stra]
3,25000015436672E-02	1,36041668179132E-03	-7,19914026558399E-02	-0,521937669254839	
3,29166682301244E-02	1,60416668450125E-03	-0,259169049561024	-0,280766470357776	
3,33333349165817E-02	1,82083335357675E-03	-0,518338099122047	-0,194376787170768	
0,033750001603039	1,23541668040161E-03	-0,539935519918799	-0,34195916261524	
3,41666682894963E-02	1,85416668728067E-04	-0,547134660184383	-0,741511447355151	
3,45833349759535E-02	-3,10416670117775E-04	-0,460744976997375	-1,00428006704897	
3,50000016624108E-02	-1,04166667824757E-05	-0,374355293810368	-0,903492103330791	
3,54166683488681E-02	8,95833343292907E-04	-0,30596346128732	-0,716314456425607	
3,58333350353253E-02	0,00149791668332	-0,176378936506808	-0,640723483636975	
3,62500017217826E-02	1,12291667915088E-03	-0,12598495464772	-0,716314456425607	
3,66666684082399E-02	1,68750001876106E-04	-0,259169049561024	-0,896292963065207	
3,70833350946972E-02	-2,00000002223533E-04	-0,439147556200624	-1,04027576837689	
3,75000017811544E-02	-2,37500002640445E-04	-0,259169049561024	-0,745111017487943	
3,79166684676117E-02	-1,19166667991522E-03	-0,187177646905184	-0,590329501777887	
0,038333335154069	-2,20416669117185E-03	-0,687517895363271	-1,01147920731455	
3,87500018405262E-02	-2,94583336608412E-03	-1,48662246484309	-1,71699495334178	
3,91666685269835E-02	-3,29791670333179E-03	-1,8429799079895	-2,08775067701936	
3,95833352134408E-02	-2,82708336476389E-03	-1,6198065597564	-1,90417260024697	
4,00000018998981E-02	-1,91458335461903E-03	-1,09066975023597	-1,49742117524147	
4,04166685863553E-02	-1,59583335107527E-03	-0,835100270807743	-1,349838799797	
4,08333352728126E-02	-1,30000001445296E-03	-0,871095972135663	-1,33904008939862	
4,12500019592699E-02	-7,39583341555772E-04	-0,831500700674951	-1,19145771395415	
4,16666686457271E-02	-4,39583338220473E-04	-0,424749275669456	-0,737911877222359	
4,20833353321844E-02	-6,87500007643393E-05	-7,55909727886319E-02	-0,3599570132792	
4,25000020186417E-02	2,50000002779416E-04	-0,183578076772392	-0,442747126333416	
0,042916668705099	8,33333342598053E-05	-0,34195916261524	-0,583130361512303	
4,33333353915562E-02	-6,27083340305035E-04	-0,403151854872704	-0,593929071910679	
4,37500020780135E-02	-5,85416673175132E-04	-0,244770769029856	-0,410350995138288	
4,41666687644708E-02	3,72916670812629E-04	0,172779366374016	-9,35888234525919E-02	
0,044583335450928	9,83333344265702E-04	0,575931221246719	0,147582375444472	
4,50000021373853E-02	7,20833341347316E-04	0,637123913504183	0,10798710398376	
4,54166688238426E-02	4,62500005141919E-04	0,424749275669456	0,010798710398376	
4,58333355102999E-02	9,5000001056178E-04	0,187177646905184	0,115186244249344	
4,62500021967571E-02	1,15000001278531E-03	-6,47922623902559E-02	9,35888234525919E-02	
4,66666688832144E-02	4,37500004863978E-04	-0,028796561062336	0,028796561062336	
4,70833355696717E-02	-1,15833334621129E-03	0,316762171685696	0,01799785066396	
4,75000022561289E-02	-2,36875002633496E-03	0	-0,475143257528543	
4,79166689425862E-02	-1,93125002147099E-03	-0,30596346128732	-0,791905429214239	
4,83333356290435E-02	-8,81250009797441E-04	-5,39935519918799E-02	-0,521937669254839	
4,87500023155008E-02	-6,43750007156996E-04	0,482342397794127	0,10798710398376	
0,049166669001958	-1,40208334892122E-03	0,845898981206119	0,622725632973015	
4,95833356884153E-02	-2,07916668978214E-03	0,950286515057087	0,709115316160023	
5,00000023748726E-02	-1,53125001702392E-03	1,11226717103273	0,745111017487943	
5,04166690613298E-02	-2,22916669144979E-04	1,37143622059375	0,975483505986631	
5,08333357477871E-02	2,16666669075494E-04	1,4830228947103	1,24905083607882	
5,12500024342444E-02	-8,45833342737023E-04	1,3030443880707	1,18065900355577	
5,16666691207016E-02	-1,5812500175798E-03	0,817102420143783	0,669520044699311	
5,20833358071589E-02	-1,13333334593335E-03	0,356357443146408	0,1799785066396	
5,25000024936162E-02	-3,22916670256745E-04	0,201575927436352	0,039595271460712	
5,29166691800735E-02	-1,45833334954659E-04	0,237571628764272	0,100787963718176	
5,33333358665307E-02	-6,2500000694854E-04	0,230372488498688	7,55909727886319E-02	
0,053750002552988	-1,31041668123544E-03	0,104387533850968	-0,176378936506808	
5,41666692394453E-02	-1,56458335072784E-03	-0,158381085842848	-0,719914026558399	
5,45833359259026E-02	-1,23125001368862E-03	-0,467944117262959	-1,17705943342298	
5,50000026123598E-02	-1,07916667866448E-03	-0,493141108192503	-1,16626072302461	
5,54166692988171E-02	-1,98333335538337E-03	-0,172779366374016	-0,802704139612615	
5,58333359852744E-02	-3,10416670117775E-03	0,244770769029856	-0,442747126333416	
5,62500026717316E-02	-2,89166669881524E-03	0,453545836731792	-0,284366040490568	
5,66666693581889E-02	-1,18333334648923E-03	0,381554434075952	-0,320361741818488	
5,70833360446462E-02	5,10416672341307E-04	0,1799785066396	-0,557933370582759	
5,75000027311035E-02	5,25000005836773E-04	0,169179796241224	-0,593929071910679	
5,79166694175607E-02	-1,42291668248617E-03	0,032396131195128	-0,662320904433727	
0,058333336104018	-3,33541670374871E-03	-0,521937669254839	-1,04747490864247	
5,87500027904753E-02	-3,13125003481218E-03	-1,23825212568045	-1,59460956882685	
5,91666694769325E-02	-1,26458334739254E-03	-1,58381085842848	-1,9797635730356	
5,95833361633898E-02	5,33333339262754E-04	-1,40383235178888	-1,83578076772392	
6,00000028498471E-02	1,08750001209046E-03	-0,950286515057087	-1,27784739714116	
6,04166695363043E-02	-2,91666669909318E-05	-0,615526492707431	-0,806303709745407	
6,08333362227616E-02	-1,08125001202097E-03	-0,518338099122047	-0,637123913504183	
6,12500029092189E-02	-8,47916676093519E-04	-0,604727782309055	-0,601128212176263	
6,16666695956762E-02	-7,25000008060306E-04	-0,32396131195128	-0,2699677599594	
6,20833362821334E-02	-1,52916668366743E-03	0,172779366374016	6,11926922574639E-02	
6,25000029685907E-02	-1,93541668818398E-03	0,39595271460712	0,039595271460712	
0,062916669655048	-6,97916674425869E-04	0,525537239387631	-6,83918325230479E-02	
6,33333363415052E-02	1,45000001612061E-03	0,388753574341536	-0,28796561062336	
6,37500030279625E-02	2,25416669172773E-03	0,370755723677576	-0,187177646905184	
6,41666697144198E-02	1,00833334454364E-03	0,640723483636975	0,194376787170768	
6,45833364008771E-02	-5,79166673105647E-04	0,759509298019111	0,421149705536664	
6,50000030873343E-02	-1,09375001215994E-03	0,572331651113927	0,345558732748032	
6,54166697737916E-02	-8,43750009380528E-04	0,262768619693816	0,140383235178888	
6,58333364602489E-02	-6,45833340513491E-04	0,129584524780512	0,032396131195128	
6,62500031467061E-02	-4,37500004863978E-04	-0,01799785066396	-6,83918325230479E-02	
6,66666698331634E-02	-6,2500000694854E-06	-0,23397205863148	-0,259169049561024	
6,70833365196207E-02	5,83333339818637E-04	-0,219573778100312	-0,374355293810368	
0,067500003206078	1,13541667928985E-03	-0,550734230317175	-0,817102420143783	
6,79166698925352E-02	1,53541668373691E-03	-0,993481356650591	-1,26704868674278	
6,83333365789925E-02	1,67500001862209E-03	-0,698316605761647	-1,0330766281113	
6,87500032654498E-02	1,61875001799672E-03	0,194376787170768	-0,122385384514928	
6,91666699519071E-02	1,44791668276412E-03	0,968284365721047	0,673119614832103	
6,95833366383643E-02	1,10208334558592E-03	1,25624997634441	0,979083076119423	
7,00000033248216E-02	3,77083337525619E-04	1,349838799797	1,04387533850968	
7,04166700112789E-02	-1,39583334885174E-04	1,45422633364797	1,18065900355577	
