Zeit  1 - Standardmessrate [s]	Kraft [kN]	DMS hinten [stra]	DMS vorn [stra]
1,60000007599592	9,08333343431877E-04	-0,280766470357776	0,032396131195128	
1,62000007694587	2,20833335788484E-03	-0,284366040490568	0,028796561062336	
1,64000007789582	2,20416669117185E-03	-8,63896831870079E-02	0,021597420796752	
1,66000007884577	2,53750002821107E-03	-0,187177646905184	-0,025196990929544	
1,68000007979572	7,00000007782364E-04	-6,11926922574639E-02	0,003599570132792	
1,70000008074567	8,75000009727955E-05	-0,100787963718176	0,021597420796752	
1,72000008169562	1,77083335302086E-04	-0,14398280531168	0,014398280531168	
1,74000008264557	5,5208333947121E-04	-0,226772918365896	-0,01799785066396	
1,76000008359551	6,68750007434937E-04	-0,147582375444472	-0,021597420796752	
1,78000008454546	5,27083339193268E-04	-0,111586674116552	-0,025196990929544	
1,80000008549541	1,46875001632907E-03	-0,1799785066396	0,003599570132792	
1,82000008644536	1,26875001410554E-03	-0,28796561062336	0,039595271460712	
1,84000008739531	2,12500002362503E-04	-0,349158302880824	0,043194841593504	
1,86000008834526	-1,87500002084562E-04	-0,313162601552904	0,032396131195128	
1,88000008929521	-2,25000002501474E-04	-0,212374637834728	7,91905429214239E-02	
1,90000009024516	2,52083336135911E-04	-9,35888234525919E-02	6,47922623902559E-02	
1,92000009119511	4,52083338359444E-04	4,67944117262959E-02	0	
1,94000009214506	9,20833343570848E-04	5,03939818590879E-02	-0,01799785066396	
1,960000093095	1,47916668311154E-03	-0,025196990929544	-7,19914026558399E-03	
1,98000009404495	6,91666674356384E-04	-5,03939818590879E-02	0,028796561062336	
2,0000000949949	4,56250005072434E-04	-0,190777217037976	6,47922623902559E-02	
2,02000009594485	3,75000004169124E-04	-0,212374637834728	0,039595271460712	
2,0400000968948	-1,6250000180662E-04	-0,21597420796752	7,19914026558399E-03	
2,06000009784475	-1,17500001306325E-03	-0,111586674116552	6,83918325230479E-02	
2,0800000987947	-1,19375001327171E-03	-0,147582375444472	5,75931221246719E-02	
2,10000009974465	-7,29166674773296E-04	-0,34195916261524	-0,025196990929544	
2,1200001006946	-9,58333343987761E-05	-0,374355293810368	-8,27901130542159E-02	
2,14000010164455	1,04166667824757E-05	-0,208775067701936	0,014398280531168	
2,16000010259449	3,75000004169124E-05	-0,183578076772392	-0,010798710398376	
2,18000010354444	1,3708333485738E-03	-0,187177646905184	0,003599570132792	
2,20000010449439	5,75000006392656E-04	-7,91905429214239E-02	0,025196990929544	
2,22000010544434	-4,52083338359444E-04	-5,39935519918799E-02	0,01799785066396	
2,24000010639429	-3,68750004099638E-04	-0,14398280531168	-0,028796561062336	
2,26000010734424	-4,89583338776356E-04	-0,417550135403872	-0,025196990929544	
2,28000010829419	-5,20833339123783E-05	-0,363556583411992	-0,032396131195128	
2,30000010924414	9,58333343987761E-05	-0,212374637834728	-0,025196990929544	
2,32000011019409	4,52083338359444E-04	-8,63896831870079E-02	-0,003599570132792	
2,34000011114404	1,97916668867038E-04	-0,212374637834728	0,003599570132792	
2,36000011209399	-1,43750001598164E-04	-0,363556583411992	0,010798710398376	
2,38000011304393	-3,91666671021085E-04	-0,334760022349656	0,01799785066396	
2,40000011399388	5,43750006045229E-04	-0,345558732748032	0,010798710398376	
2,42000011494383	6,10416673453074E-04	-0,194376787170768	5,03939818590879E-02	
2,44000011589378	1,2854166809575E-03	-0,115186244249344	5,75931221246719E-02	
2,46000011684373	1,47083334968556E-03	-0,147582375444472	0,028796561062336	
2,48000011779368	1,97083335524439E-03	-0,219573778100312	0	
2,50000011874363	1,58958335100579E-03	-0,241171198897064	0	
2,52000011969358	1,20833334676718E-03	-0,205175497569144	7,19914026558399E-03	
2,54000012064353	8,33333342598053E-04	-0,30596346128732	-0,028796561062336	
2,56000012159348	-4,37500004863978E-05	-0,205175497569144	-0,021597420796752	
2,58000012254342	1,15833334621129E-03	-8,27901130542159E-02	-0,025196990929544	
2,60000012349337	1,73333335260395E-03	-0,100787963718176	-0,014398280531168	
2,62000012444332	9,12500010144868E-04	-0,129584524780512	0,021597420796752	
2,64000012539327	4,58333338428929E-05	-0,262768619693816	4,67944117262959E-02	
2,66000012634322	1,0291666781086E-03	-0,223173348233104	-7,19914026558399E-03	
2,68000012729317	1,20625001341068E-03	-0,1799785066396	-0,043194841593504	
2,70000012824312	1,64583335163115E-03	-0,021597420796752	7,19914026558399E-03	
2,72000012919307	7,16666674634325E-04	-0,241171198897064	0,003599570132792	
2,74000013014302	-4,60416671785424E-04	-0,352757873013616	-0,014398280531168	
2,76000013109297	1,89583335441057E-04	-0,2699677599594	-0,03599570132792	
2,78000013204291	9,16666676857858E-04	-0,32396131195128	-0,028796561062336	
2,80000013299286	5,06250005628317E-04	-0,331160452216864	-0,003599570132792	
2,82000013394281	5,14583339054298E-04	-0,28796561062336	0,03599570132792	
2,84000013489276	5,91666673244617E-04	-0,122385384514928	0,01799785066396	
2,86000013584271	8,45833342737023E-04	-0,316762171685696	0,010798710398376	
2,88000013679266	7,12500007921335E-04	-0,230372488498688	-0,010798710398376	
2,90000013774261	1,22916668033213E-03	-0,172779366374016	0,025196990929544	
2,92000013869256	1,15208334614181E-03	-0,259169049561024	0,03599570132792	
2,94000013964251	1,06041667845602E-03	-0,241171198897064	7,19914026558399E-03	
2,96000014059246	7,16666674634325E-04	-0,133184094913304	-0,010798710398376	
2,9800001415424	-3,60416670673658E-04	-0,219573778100312	0,003599570132792	
3,00000014249235	6,2500000694854E-06	-0,122385384514928	0,039595271460712	
3,0200001434423	3,04166670048289E-04	-0,237571628764272	0,039595271460712	
3,04000014439225	7,50000008338247E-05	-0,399552284739912	0,01799785066396	
3,0600001453422	7,72916675259694E-04	-0,37795486394316	0,043194841593504	
3,08000014629215	6,68750007434937E-04	-0,183578076772392	6,11926922574639E-02	
3,1000001472421	2,64583336274882E-04	-0,32396131195128	5,03939818590879E-02	
3,12000014819205	1,56250001737135E-04	-0,39595271460712	0,021597420796752	
3,140000149142	2,79166669770348E-04	-0,338359592482448	-0,010798710398376	
3,16000015009195	3,68750004099638E-04	-0,475143257528543	-0,021597420796752	
3,1800001510419	-1,39583334885174E-04	-0,41395056527108	-0,021597420796752	
3,20000015199184	7,08333341208345E-04	-0,219573778100312	0,025196990929544	
3,22000015294179	6,12500006809569E-04	-0,147582375444472	0,03599570132792	
3,24000015389174	7,29166674773296E-04	-0,349158302880824	0,010798710398376	
3,26000015484169	1,31250001459193E-04	-0,381554434075952	-0,01799785066396	
3,28000015579164	1,91666668797552E-04	-0,460744976997375	7,19914026558399E-03	
3,30000015674159	1,0708333452385E-03	-0,363556583411992	0,032396131195128	
3,32000015769154	8,58333342875994E-04	-0,381554434075952	7,19914026558399E-03	
